"STATION","NAME","DATE","DX32","DX70","DX90","EMNT","EMXT","TAVG","TMAX","TMIN"
"USW00013957","SHREVEPORT REGIONAL AIRPORT, LA US","1939-07","0","31","31","68","104","86.0","98.1","73.8"
"USW00013957","SHREVEPORT REGIONAL AIRPORT, LA US","1939-08","0","31","31","68","101","84.8","96.7","73.0"
"USW00013957","SHREVEPORT REGIONAL AIRPORT, LA US","1939-09","0","30","28","59","104","82.2","95.6","68.8"
"USW00013957","SHREVEPORT REGIONAL AIRPORT, LA US","1939-10","0","27","8","32","94","68.0","82.0","54.0"
"USW00013957","SHREVEPORT REGIONAL AIRPORT, LA US","1939-11","0","8","0","26","80","53.1","64.2","42.0"
"USW00013957","SHREVEPORT REGIONAL AIRPORT, LA US","1939-12","0","11","0","28","83","52.5","63.2","41.9"
"USW00013957","SHREVEPORT REGIONAL AIRPORT, LA US","1940-01","4","1","0","5","72","35.3","44.5","26.0"
"USW00013957","SHREVEPORT REGIONAL AIRPORT, LA US","1940-02","0","5","0","28","84","48.1","57.5","38.7"
"USW00013957","SHREVEPORT REGIONAL AIRPORT, LA US","1940-03","0","19","0","28","86","58.1","70.1","46.2"
"USW00013957","SHREVEPORT REGIONAL AIRPORT, LA US","1940-04","0","21","0","33","88","64.2","74.7","53.7"
"USW00013957","SHREVEPORT REGIONAL AIRPORT, LA US","1940-05","0","30","1","53","91","70.8","81.4","60.2"
"USW00013957","SHREVEPORT REGIONAL AIRPORT, LA US","1940-06","0","30","15","61","94","78.2","87.5","68.9"
"USW00013957","SHREVEPORT REGIONAL AIRPORT, LA US","1940-07","0","31","19","68","98","81.6","90.6","72.6"
"USW00013957","SHREVEPORT REGIONAL AIRPORT, LA US","1940-08","0","31","19","59","97","79.7","89.3","70.1"
"USW00013957","SHREVEPORT REGIONAL AIRPORT, LA US","1940-09","0","30","14","46","96","73.8","85.8","61.8"
"USW00013957","SHREVEPORT REGIONAL AIRPORT, LA US","1940-10","0","29","0","40","89","68.3","82.2","54.4"
"USW00013957","SHREVEPORT REGIONAL AIRPORT, LA US","1940-11","0","13","0","24","77","55.0","64.8","45.2"
"USW00013957","SHREVEPORT REGIONAL AIRPORT, LA US","1940-12","0","5","0","29","72","52.5","62.1","42.9"
"USW00013957","SHREVEPORT REGIONAL AIRPORT, LA US","1941-01","0","1","0","24","70","50.0","59.3","40.6"
"USW00013957","SHREVEPORT REGIONAL AIRPORT, LA US","1941-02","0","1","0","27","71","46.6","55.1","38.1"
"USW00013957","SHREVEPORT REGIONAL AIRPORT, LA US","1941-03","0","8","0","33","80","52.5","61.4","43.6"
"USW00013957","SHREVEPORT REGIONAL AIRPORT, LA US","1941-04","0","26","0","46","86","67.1","76.9","57.2"
"USW00013957","SHREVEPORT REGIONAL AIRPORT, LA US","1941-05","0","31","6","58","92","74.7","84.1","65.2"
"USW00013957","SHREVEPORT REGIONAL AIRPORT, LA US","1941-06","0","30","18","63","97","79.6","89.1","70.0"
"USW00013957","SHREVEPORT REGIONAL AIRPORT, LA US","1941-07","0","31","26","69","99","83.8","93.8","73.8"
"USW00013957","SHREVEPORT REGIONAL AIRPORT, LA US","1941-08","0","31","29","70","101","85.0","95.2","74.7"
"USW00013957","SHREVEPORT REGIONAL AIRPORT, LA US","1941-09","0","30","18","56","96","79.8","89.9","69.7"
"USW00013957","SHREVEPORT REGIONAL AIRPORT, LA US","1941-10","0","27","8","44","93","73.1","82.7","63.4"
"USW00013957","SHREVEPORT REGIONAL AIRPORT, LA US","1941-11","0","10","0","28","82","53.5","65.0","42.1"
"USW00013957","SHREVEPORT REGIONAL AIRPORT, LA US","1941-12","0","4","0","28","74","50.5","59.9","41.0"
"USW00013957","SHREVEPORT REGIONAL AIRPORT, LA US","1942-01","4","5","0","15","77","44.9","56.0","33.8"
"USW00013957","SHREVEPORT REGIONAL AIRPORT, LA US","1942-02","0","3","0","27","72","47.3","56.4","38.3"
"USW00013957","SHREVEPORT REGIONAL AIRPORT, LA US","1942-03","0","16","0","32","85","57.2","68.1","46.3"
